scientifique 	scientific	 scientist
embellir 	embellish
vis-à-vis 	vis-à-vis
kharkov 	Kharkiv
bonhomie 	bonhomie
orangerie 	orangery
plumet 	plume
mali 	Mali
whiskey 	whiskey	 whisky
constance 	constancy
monomanie 	monomania
satire 	satire
virion 	virion
calcul 	calculus	 stone	 sum	 computation
table 	table	 calculator
bureau de change 	bureau de change
causation 	causation
cube 	cubic	 cube
applaudir 	applaud	 clap	 acclaim
position 	position
occulter 	occult
aberdeen 	Aberdeen
modeste 	modest
dater 	date
presser 	lean	 press	 squeeze
multiplexer 	multiplex
massacrer 	massacre
institut 	institute
fontange 	fontange
cowboy 	cowboy
fomalhaut 	Fomalhaut
edmonton 	Edmonton
saint 	hallow	 saint
article 	article	 second	 subsection	 entry	 section
thiamine 	thiamine
facilité 	facility	 ease
dresde 	Dresden
gradient 	gradient
cannabis 	cannabis
étymologiste 	etymologist
malé 	Malé
filtrat 	filtrate
morganatique 	morganatic
funiculaire 	funicular
monoamine oxydase 	monoamine oxidase
carde 	card
kraken 	Kraken
astigmatisme 	astigmatism
encourager 	encourage	 abet
marx 	Marx
marbre 	marble	 home plate
mars 	Mars
liste 	roster	 list
convertir 	convert
ayyavazhi 	Ayyavazhi
uruguayen 	Uruguayan
chlorotique 	chlorotic
photographie 	photograph	 photography
endoparasite 	endoparasite
nudisme 	nudism
carat 	carat
perplexité 	perplexity
alkylation 	alkylation
quetzal 	quetzal
dublin 	Dublin
avatar 	avatar
expédition 	expedition
participante 	participant
kelvin 	kelvin
jargon 	babble	 language	 jargon
charivari 	pandemonium	 charivari
désassembleur 	disassembler
waver 	waver
commodore 	commodore
seine 	Seine
aspermie 	aspermia
kakuro 	kakuro
intelligente 	intelligent
gratitude 	gratitude
culte 	cult	 worship
dialogue 	dialogue
invasion 	invasion
parallèle 	parallel
lumbago 	lumbago
consoler 	consolation	 console	 comfort	 solace
pneumorragie 	pneumorrhagia
caprolactame 	caprolactam
bolivie 	Bolivia
eschatologie 	eschatology
utilité 	bit player	 utility	 use
carpe 	carp
membrane 	membrane	 diaphragm
métropolitain 	subway	 metropolitan	 metro
laryngite 	laryngitis
longeron 	longeron
priam 	Priam
converser 	converse
biodiversité 	biodiversity
psychopolitique 	psychopolitics
appendicite 	appendicitis
fanny 	Fanny
odessa 	Odessa
métastabilité 	metastability
pringle 	Pringle
programmeuse 	programmer
antenne 	aerial	 antenna
apocope 	apocope
pardon 	pardon	 excuse me	 sorry
wombat 	wombat
dazibao 	dazibao
bioluminescence 	bioluminescence
nationalité 	nationality	 citizenship
polyphonie 	polyphony
affirmation 	affirmation	 claim
motif 	ulterior motive	 motive	 motif
famine 	famine
cuba 	Cuba
hypotrochoïde 	hypotrochoid
sphinx 	Sphinx
partitif 	partitive	 partitive case
virginité 	maidenhood	 virginity
argument 	argument	 pitch
pescara 	Pescara
nocturne 	nocturnal
paradoxe 	paradox
encouragement 	encouragement
aboulie 	aboulia
affixe 	affix
numismatique 	numismatic	 numismatics
platon 	Plato
rédemption 	redemption
hollywood 	Hollywood
interrogatrice 	interrogator
playstation 	PlayStation
diversité 	diversity
colombien 	Colombian
barkhane 	barkhan	 barchan
arrogante 	arrogant
bestialité 	bestiality
vectoriel 	vectorial
commission 	commission
odyssée 	Odyssey
articulatoire 	articulatory
mémorandum 	memorandum
adieu 	farewell	 goodbye	 adieu	 parting
maine 	Maine
archives 	archive
archiver 	archive
sylphe 	sylph
cousine 	cousin
envisager 	envisage	 contemplate
hussard 	hussar
khagan 	khagan
snowboard 	snowboard
parabole 	dish	 parable	 parabola
axiome 	axiom
vertige 	vertigo
orifice 	orifice
turbine 	turbine
dantesque 	Dantesque
précipitation 	precipitation
psychiatrie 	psychiatry
polyspaste 	polyspast
défenestration 	defenestration
shanghai 	Shanghai
évaporation 	evaporation
terni 	Terni
lucas 	Lucas
lifting 	lifting	 facelift
moulin 	mill	 moulin
klingon 	Klingon
vicinité 	vicinity
capacité 	skill	 capacity	 ability
diplomatique 	diplomatic
karnataka 	Karnataka
samarium 	samarium
châteaubriand 	châteaubriand
opium 	opium
futur 	future	 future tense
abstractionnisme 	abstractionism
parkour 	parkour	 free running
staline 	Stalin
absolutisme 	absolutism
continuité 	continuity
trope 	trope
immigrant 	immigrant
proxima centauri 	Proxima Centauri
chronologie 	chronology
existence 	being	 existence
vaginisme 	vaginismus
casting 	casting
revenant 	revenant
juliette 	Juliet
fongible 	fungible
trembler 	tremble	 shiver
sociologue 	sociologist
exfoliant 	exfoliant
révocation 	revocation
transplanter 	transplant
crépuscule 	sunset	 twilight	 crepuscule	 dusk
psalmiste 	psalmist
élision 	elision
badminton 	badminton
prince albert 	Prince Albert
annexer 	annex
tri- 	tri-
prison 	prison
troll 	troll
nickel 	nickel
pulsar 	pulsar
biographe 	biographer
syracuse 	Syracuse
confessionnal 	confessional
drenthe 	Drenthe
karst 	karst
musicien 	player	 musician
ringgit 	ringgit
abstractionniste 	abstractionist
rhin 	Rhine
sens 	clockwise	 sense	 meaning
hotline 	hotline
tram 	tram
algorithme 	algorithm
endurable 	endurable
statue 	statue
-ance 	-ancy	 -ance
n'djamena 	N'Djamena
spermatozoïde 	sperm	 spermatozoon
qatar 	Qatar
arabe 	Arab
et al. 	et al.
knesset 	Knesset
archonte 	archon
nuremberg 	Nuremberg
marshmallow 	marshmallow
discriminant 	discriminant
intransitivement 	intransitively
millimètre 	millimetre
samoan 	Samoan
romanesque 	romanesque
fricative 	fricative
abbesse 	abbess
idiolecte 	idiolect
yoruba 	Yoruba
certitude 	certitude	 certainty
rampe 	railing	 banister	 ramp
vladivostok 	Vladivostok
bangladesh 	Bangladesh
trichotillomanie 	trichotillomania
licence 	license
libido 	libido
intégration 	integration
mutualisme 	mutualism
introduction 	introduction
blackout 	blackout
radioactif 	hot	 radioactive
cation 	cation
cabriolet 	cabriolet	 convertible
nitroglycérine 	nitroglycerine
zoopathologie 	zoopathology
intro 	intro
sesquioxyde 	sesquioxide
hypogastrique 	hypogastric
embarrassé 	confused	 embarrassed	 shy
forcer 	coerce	 take	 force
calvinisme 	Calvinism
mérida 	Mérida
enveloppe 	wrapper	 envelope
internet 	internet	 Internet
albatros 	albatross
canasta 	canasta
mobile 	cell	 mobile phone	 cell phone	 mobile
interner 	intern
nécrophilie 	necrophilia
correction 	edit	 correction
sérotonine 	serotonin
tuberculose 	pulmonary tuberculosis	 tuberculosis
ankara 	Ankara
multiplication 	multiplication
trio 	trio
trip 	trip
submersible 	submersible
réassurer 	reassure
andropause 	andropause
francium 	francium
seth 	Set	 Seth
ethnonyme 	ethnonym	 demonym
automobile 	car	 automobile	 motorcar
confirmation 	confirmation
antiquark 	antiquark
kiviak 	kiviak
papaye 	papaya
crocodile 	crocodile
colombo 	Colombo
amaretto 	amaretto
gruyère 	Gruyère
caste 	caste
gigolo 	gigolo
maturité 	adulthood	 maturity
lion 	lion
partisan 	partisan	 proponent
monaco 	Monaco
divinité 	god	 divinity
windows 	Windows
classification 	classification
-carpe 	-carp
jasmine 	Jasmine
novatien 	Novatian
sashimi 	sashimi
marmotte 	marmot	 woodchuck
suture 	seam	 suture
béarn 	Béarn
narian-mar 	Naryan-Mar
volcan 	volcano
toque 	toque
fédération 	federation
intempestivité 	intempestivity
trachyte 	trachyte
monochrome 	monochrome
lysine 	lysine
menhir 	menhir
toupet 	gall	 toupee	 cheek
confucius 	Confucius
rugby 	rugby
section 	section
coprophilie 	coprophilia
orthographe 	orthography	 spelling
pyramide 	pyramid
thriller 	thriller
signature 	signature
burundi 	Burundi
compost 	compost
chauffeur 	chauffeur	 driver
émollient 	emollient
karine 	Karin
lac tanganyika 	Tanganyika
kansas city 	Kansas City
tamil nadu 	Tamil Nadu
nuance 	nuance	 shade
fahrenheit 	Fahrenheit
franc 	Franconian	 frank	 franc	 outspoken
caribou 	caribou
polyandre 	polyandrous
krypton 	krypton
cumin 	cumin
kabassou 	cabassou
paraclet 	paraclete
morna 	morna
angola 	Angola
portable 	portable	 cell	 mobile
surproduction 	overproduction
alice 	Alice
spirituel 	spiritual
assassinat 	homicide	 assassination
tunisie 	Tunisia
perception 	perception
carcasse 	carcass
ligature 	ligature	 logotype
ordination 	ordination
simon 	Simon
éclat 	shard	 blare	 flake	 shine	 éclat	 luster	 eclat
bouquet 	bouquet	 bunch
rectangulaire 	rectangular
romaniser 	romanize
prude 	prude
ethnomusicologie 	ethnomusicology
frimaire 	Frimaire
café au lait 	white coffee	 café au lait
apocalyptique 	apocalyptic
version 	release	 version
riga 	Riga
lac winnipeg 	Winnipeg
présentation 	presentation	 pitch	 introduction
brie 	brie
anglicisé 	anglicized	 anglicised
aphorisme 	aphorism
interféron 	interferon
univers 	universe
ronan 	Ronan
hector 	Hector
termite 	termite
kilt 	kilt
geyser 	geyser
catalan 	Catalan
tripler 	triple	 treble
réunification 	reunification
licite 	licit
miniature 	thumbnail	 miniature
ytterbium 	ytterbium
stresser 	stress
hospitalité 	hospitality
échinoderme 	echinoderm
descendant 	scion	 progeny	 descendant	 downstream
méthadone 	methadone
